reserve_visit_date,store_id,sum_reserve_visitors,air_store_id,visit_date,visitors
2017-03-17,air_1408dd53f31a8a65,81,air_1408dd53f31a8a65,2017-03-17,81
2016-12-17,air_326ca454ef3558bc,80,air_326ca454ef3558bc,2016-12-17,67
2016-12-17,air_b4f32bcc399da2b9,80,air_b4f32bcc399da2b9,2016-12-17,89
2016-12-27,air_b23d0f519291247d,80,air_b23d0f519291247d,2016-12-27,57
2017-03-24,air_db80363d35f10926,80,air_db80363d35f10926,2017-03-24,106
2017-03-26,air_707d4b6328f2c2df,80,air_707d4b6328f2c2df,2017-03-26,81
2016-03-26,air_622375b4815cf5cb,80,air_622375b4815cf5cb,2016-03-26,64
2016-03-20,air_326ca454ef3558bc,79,air_326ca454ef3558bc,2016-03-20,83
2016-12-30,air_326ca454ef3558bc,79,air_326ca454ef3558bc,2016-12-30,83
2016-12-10,air_df554c4527a1cfe6,79,air_df554c4527a1cfe6,2016-12-10,109
2017-02-25,air_db80363d35f10926,79,air_db80363d35f10926,2017-02-25,84
2017-03-24,air_a88ac559064dec08,78,air_a88ac559064dec08,2017-03-24,77
2016-11-25,air_03963426c9312048,78,air_03963426c9312048,2016-11-25,57
2017-03-24,air_03963426c9312048,78,air_03963426c9312048,2017-03-24,87
2016-12-17,air_3c938075889fc059,78,air_3c938075889fc059,2016-12-17,63
2017-03-03,air_3c938075889fc059,78,air_3c938075889fc059,2017-03-03,83
2016-03-12,air_622375b4815cf5cb,78,air_622375b4815cf5cb,2016-03-12,89
2016-12-22,air_db80363d35f10926,77,air_db80363d35f10926,2016-12-22,75
2016-12-30,air_1408dd53f31a8a65,77,air_1408dd53f31a8a65,2016-12-30,77
2017-03-13,air_4092cfbd95a3ac1b,77,air_4092cfbd95a3ac1b,2017-03-13,79
2017-01-07,air_707d4b6328f2c2df,76,air_707d4b6328f2c2df,2017-01-07,76
2016-04-22,air_622375b4815cf5cb,76,air_622375b4815cf5cb,2016-04-22,79
2016-12-28,air_1408dd53f31a8a65,76,air_1408dd53f31a8a65,2016-12-28,91
2017-02-03,air_1408dd53f31a8a65,76,air_1408dd53f31a8a65,2017-02-03,90
2017-03-24,air_1408dd53f31a8a65,76,air_1408dd53f31a8a65,2017-03-24,76
2016-12-21,air_32b02ba5dc2027f4,76,air_32b02ba5dc2027f4,2016-12-21,106
2016-12-22,air_32b02ba5dc2027f4,76,air_32b02ba5dc2027f4,2016-12-22,97
2017-01-15,air_7514d90009613cd6,75,air_7514d90009613cd6,2017-01-15,122
2016-06-04,air_b4f32bcc399da2b9,75,air_b4f32bcc399da2b9,2016-06-04,83
2016-12-17,air_24b9b2a020826ede,75,air_24b9b2a020826ede,2016-12-17,60
2017-04-21,air_03963426c9312048,75,air_03963426c9312048,2017-04-21,75
2017-02-28,air_a38f25e3399d1b25,75,air_a38f25e3399d1b25,2017-02-28,61
2016-12-18,air_1408dd53f31a8a65,75,air_1408dd53f31a8a65,2016-12-18,83
2017-02-25,air_1408dd53f31a8a65,75,air_1408dd53f31a8a65,2017-02-25,71
2017-03-25,air_1408dd53f31a8a65,75,air_1408dd53f31a8a65,2017-03-25,85
2016-12-16,air_9b6af3db40da4ae2,75,air_9b6af3db40da4ae2,2016-12-16,75
2016-11-01,air_3e93f3c81008696d,74,air_3e93f3c81008696d,2016-11-01,76
2016-05-04,air_e55abd740f93ecc4,74,air_e55abd740f93ecc4,2016-05-04,70
2017-03-19,air_cf5ab75a0afb8af9,74,air_cf5ab75a0afb8af9,2017-03-19,92
2016-12-29,air_db80363d35f10926,74,air_db80363d35f10926,2016-12-29,70
2016-12-19,air_646b93e336f0dded,74,air_646b93e336f0dded,2016-12-19,78
2016-12-09,air_1408dd53f31a8a65,74,air_1408dd53f31a8a65,2016-12-09,74
2016-12-16,air_1408dd53f31a8a65,74,air_1408dd53f31a8a65,2016-12-16,71
2017-02-18,air_1408dd53f31a8a65,74,air_1408dd53f31a8a65,2017-02-18,80
2016-12-10,air_9b6af3db40da4ae2,74,air_9b6af3db40da4ae2,2016-12-10,76
2016-11-14,air_4092cfbd95a3ac1b,74,air_4092cfbd95a3ac1b,2016-11-14,74
2016-12-22,air_20add8092c9bb51d,73,air_20add8092c9bb51d,2016-12-22,78
2016-12-17,air_3bb99a1fe0583897,73,air_3bb99a1fe0583897,2016-12-17,73
2016-04-22,air_03963426c9312048,73,air_03963426c9312048,2016-04-22,99
2016-12-09,air_a38f25e3399d1b25,73,air_a38f25e3399d1b25,2016-12-09,121
2017-03-24,air_28dbe91c4c9656be,73,air_28dbe91c4c9656be,2017-03-24,89
2017-01-21,air_1408dd53f31a8a65,73,air_1408dd53f31a8a65,2017-01-21,91
2016-12-09,air_9b6af3db40da4ae2,73,air_9b6af3db40da4ae2,2016-12-09,74
2016-03-25,air_03963426c9312048,72,air_03963426c9312048,2016-03-25,92
2017-03-17,air_db80363d35f10926,72,air_db80363d35f10926,2017-03-17,98
2017-03-11,air_0867f7bebad6a649,72,air_0867f7bebad6a649,2017-03-11,72
2017-01-01,air_8e492076a1179383,72,air_8e492076a1179383,2017-01-01,135
2017-04-08,air_4092cfbd95a3ac1b,72,air_4092cfbd95a3ac1b,2017-04-08,111
2016-12-03,air_326ca454ef3558bc,71,air_326ca454ef3558bc,2016-12-03,84
2017-04-07,air_03963426c9312048,71,air_03963426c9312048,2017-04-07,78
2017-02-17,air_7831b00996701c0f,71,air_7831b00996701c0f,2017-02-17,41
2016-12-22,air_a88ac559064dec08,70,air_a88ac559064dec08,2016-12-22,78
2017-04-20,air_a88ac559064dec08,70,air_a88ac559064dec08,2017-04-20,41
2016-12-09,air_e55abd740f93ecc4,70,air_e55abd740f93ecc4,2016-12-09,76
2016-12-29,air_0a74a5408a0b8642,70,air_0a74a5408a0b8642,2016-12-29,63
2016-01-15,air_03963426c9312048,70,air_03963426c9312048,2016-01-15,107
2016-02-27,air_03963426c9312048,70,air_03963426c9312048,2016-02-27,80
2017-01-20,air_03963426c9312048,70,air_03963426c9312048,2017-01-20,70
2017-04-15,air_03963426c9312048,70,air_03963426c9312048,2017-04-15,77
2016-12-28,air_a38f25e3399d1b25,70,air_a38f25e3399d1b25,2016-12-28,97
2017-03-18,air_7514d90009613cd6,69,air_7514d90009613cd6,2017-03-18,122
2016-03-25,air_326ca454ef3558bc,69,air_326ca454ef3558bc,2016-03-25,69
2016-12-03,air_df554c4527a1cfe6,69,air_df554c4527a1cfe6,2016-12-03,141
2016-12-24,air_0a74a5408a0b8642,69,air_0a74a5408a0b8642,2016-12-24,67
2016-12-22,air_03963426c9312048,69,air_03963426c9312048,2016-12-22,66
2017-02-25,air_2a485b92210c98b5,69,air_2a485b92210c98b5,2017-02-25,94
2017-03-11,air_db80363d35f10926,69,air_db80363d35f10926,2017-03-11,88
2017-03-19,air_683371d9baabf410,69,air_683371d9baabf410,2017-03-19,69
2017-03-17,air_622375b4815cf5cb,69,air_622375b4815cf5cb,2017-03-17,69
2016-12-03,air_9b6af3db40da4ae2,69,air_9b6af3db40da4ae2,2016-12-03,72
2016-12-23,air_9b6af3db40da4ae2,69,air_9b6af3db40da4ae2,2016-12-23,71
2017-01-28,air_e053c561f32acc28,69,air_e053c561f32acc28,2017-01-28,81
2016-12-12,air_32b02ba5dc2027f4,69,air_32b02ba5dc2027f4,2016-12-12,81
2016-12-22,air_b23d0f519291247d,68,air_b23d0f519291247d,2016-12-22,56
2017-03-25,air_03963426c9312048,68,air_03963426c9312048,2017-03-25,72
2017-04-14,air_03963426c9312048,68,air_03963426c9312048,2017-04-14,72
2017-02-17,air_28dbe91c4c9656be,68,air_28dbe91c4c9656be,2017-02-17,95
2016-11-18,air_1408dd53f31a8a65,68,air_1408dd53f31a8a65,2016-11-18,71
2016-12-14,air_4beac252540f865e,68,air_4beac252540f865e,2016-12-14,34
2016-12-12,air_c47aa7493b15f297,67,air_c47aa7493b15f297,2016-12-12,68
2016-11-26,air_df554c4527a1cfe6,67,air_df554c4527a1cfe6,2016-11-26,175
2016-12-22,air_df554c4527a1cfe6,67,air_df554c4527a1cfe6,2016-12-22,86
2016-01-02,air_789466e488705c93,67,air_789466e488705c93,2016-01-02,68
2016-12-17,air_0a74a5408a0b8642,67,air_0a74a5408a0b8642,2016-12-17,65
2017-03-10,air_622375b4815cf5cb,67,air_622375b4815cf5cb,2017-03-10,71
2016-12-22,air_9b6af3db40da4ae2,67,air_9b6af3db40da4ae2,2016-12-22,72
2017-03-29,air_326ca454ef3558bc,66,air_326ca454ef3558bc,2017-03-29,66
2016-12-28,air_e55abd740f93ecc4,66,air_e55abd740f93ecc4,2016-12-28,80
2016-12-09,air_df554c4527a1cfe6,66,air_df554c4527a1cfe6,2016-12-09,94
2017-01-21,air_df554c4527a1cfe6,66,air_df554c4527a1cfe6,2017-01-21,137
2017-03-17,air_df554c4527a1cfe6,66,air_df554c4527a1cfe6,2017-03-17,117
2017-03-30,air_cf5ab75a0afb8af9,66,air_cf5ab75a0afb8af9,2017-03-30,83
2017-01-21,air_3c938075889fc059,66,air_3c938075889fc059,2017-01-21,91
2017-03-24,air_3c938075889fc059,66,air_3c938075889fc059,2017-03-24,80
2016-12-22,air_a38f25e3399d1b25,66,air_a38f25e3399d1b25,2016-12-22,90
2016-12-10,air_56cebcbd6906e04c,66,air_56cebcbd6906e04c,2016-12-10,46
2017-03-10,air_9b6af3db40da4ae2,66,air_9b6af3db40da4ae2,2017-03-10,69
2017-03-26,air_4092cfbd95a3ac1b,66,air_4092cfbd95a3ac1b,2017-03-26,66
2016-12-20,air_32b02ba5dc2027f4,66,air_32b02ba5dc2027f4,2016-12-20,90
2016-03-26,air_326ca454ef3558bc,65,air_326ca454ef3558bc,2016-03-26,75
2016-12-10,air_326ca454ef3558bc,65,air_326ca454ef3558bc,2016-12-10,81
2016-12-29,air_326ca454ef3558bc,65,air_326ca454ef3558bc,2016-12-29,73
2017-03-31,air_a88ac559064dec08,65,air_a88ac559064dec08,2017-03-31,24
2016-07-23,air_b4f32bcc399da2b9,65,air_b4f32bcc399da2b9,2016-07-23,101
2016-12-03,air_2c6fef1ce0e13a5a,65,air_2c6fef1ce0e13a5a,2016-12-03,46
2016-01-30,air_03963426c9312048,65,air_03963426c9312048,2016-01-30,70
2016-04-28,air_03963426c9312048,65,air_03963426c9312048,2016-04-28,93
2016-12-15,air_03963426c9312048,65,air_03963426c9312048,2016-12-15,63
2016-12-16,air_db80363d35f10926,65,air_db80363d35f10926,2016-12-16,70
2017-01-20,air_a38f25e3399d1b25,65,air_a38f25e3399d1b25,2017-01-20,69
2016-12-23,air_465bddfed3353b23,65,air_465bddfed3353b23,2016-12-23,66
2017-03-11,air_622375b4815cf5cb,65,air_622375b4815cf5cb,2017-03-11,86
2017-01-02,air_1408dd53f31a8a65,65,air_1408dd53f31a8a65,2017-01-02,89
2016-10-28,air_9b6af3db40da4ae2,65,air_9b6af3db40da4ae2,2016-10-28,70
2016-12-02,air_9b6af3db40da4ae2,65,air_9b6af3db40da4ae2,2016-12-02,72
2016-12-16,air_8093d0b565e9dbdf,65,air_8093d0b565e9dbdf,2016-12-16,79
2016-11-27,air_4092cfbd95a3ac1b,65,air_4092cfbd95a3ac1b,2016-11-27,183
2016-12-16,air_326ca454ef3558bc,64,air_326ca454ef3558bc,2016-12-16,75
2016-12-15,air_20add8092c9bb51d,64,air_20add8092c9bb51d,2016-12-15,67
2016-12-11,air_b23d0f519291247d,64,air_b23d0f519291247d,2016-12-11,11
2016-12-29,air_e55abd740f93ecc4,64,air_e55abd740f93ecc4,2016-12-29,85
2017-02-18,air_0a74a5408a0b8642,64,air_0a74a5408a0b8642,2017-02-18,59
2016-03-19,air_03963426c9312048,64,air_03963426c9312048,2016-03-19,60
2016-12-02,air_03963426c9312048,64,air_03963426c9312048,2016-12-02,68
2016-12-09,air_db80363d35f10926,64,air_db80363d35f10926,2016-12-09,66
2016-11-20,air_56cebcbd6906e04c,64,air_56cebcbd6906e04c,2016-11-20,74
2016-12-10,air_20add8092c9bb51d,63,air_20add8092c9bb51d,2016-12-10,82
2017-01-29,air_b23d0f519291247d,63,air_b23d0f519291247d,2017-01-29,87
2017-02-11,air_0a74a5408a0b8642,63,air_0a74a5408a0b8642,2017-02-11,60
2017-01-14,air_03963426c9312048,63,air_03963426c9312048,2017-01-14,67
2017-01-28,air_03963426c9312048,63,air_03963426c9312048,2017-01-28,69
2016-12-17,air_db80363d35f10926,63,air_db80363d35f10926,2016-12-17,89
2016-12-15,air_a38f25e3399d1b25,63,air_a38f25e3399d1b25,2016-12-15,105
2017-03-19,air_f911308e19d64236,63,air_f911308e19d64236,2017-03-19,82
2016-12-24,air_465bddfed3353b23,63,air_465bddfed3353b23,2016-12-24,84
2016-04-08,air_622375b4815cf5cb,63,air_622375b4815cf5cb,2016-04-08,71
2017-03-03,air_622375b4815cf5cb,63,air_622375b4815cf5cb,2017-03-03,67
2016-12-20,air_56cebcbd6906e04c,63,air_56cebcbd6906e04c,2016-12-20,63
2016-12-30,air_e053c561f32acc28,63,air_e053c561f32acc28,2016-12-30,72
2016-12-22,air_6ca1d941c8199a67,62,air_6ca1d941c8199a67,2016-12-22,64
2017-03-22,air_a88ac559064dec08,62,air_a88ac559064dec08,2017-03-22,62
2017-03-31,air_789466e488705c93,62,air_789466e488705c93,2017-03-31,68
2017-03-13,air_cf5ab75a0afb8af9,62,air_cf5ab75a0afb8af9,2017-03-13,68
2016-01-08,air_03963426c9312048,62,air_03963426c9312048,2016-01-08,89
2016-03-24,air_03963426c9312048,62,air_03963426c9312048,2016-03-24,95
2016-04-08,air_03963426c9312048,62,air_03963426c9312048,2016-04-08,92
2016-12-10,air_03963426c9312048,62,air_03963426c9312048,2016-12-10,70
2017-02-11,air_03963426c9312048,62,air_03963426c9312048,2017-02-11,66
2016-12-16,air_a38f25e3399d1b25,62,air_a38f25e3399d1b25,2016-12-16,75
2017-01-07,air_9b6af3db40da4ae2,62,air_9b6af3db40da4ae2,2017-01-07,71
2016-12-29,air_e053c561f32acc28,62,air_e053c561f32acc28,2016-12-29,83
2017-03-04,air_e053c561f32acc28,62,air_e053c561f32acc28,2017-03-04,52
2017-03-24,air_e7fbee4e3cfe65c5,61,air_e7fbee4e3cfe65c5,2017-03-24,64
2016-12-17,air_20add8092c9bb51d,61,air_20add8092c9bb51d,2016-12-17,82
2017-03-17,air_cf5ab75a0afb8af9,61,air_cf5ab75a0afb8af9,2017-03-17,82
2016-12-09,air_3bb99a1fe0583897,61,air_3bb99a1fe0583897,2016-12-09,70
2016-01-23,air_03963426c9312048,61,air_03963426c9312048,2016-01-23,72
2017-01-28,air_db80363d35f10926,61,air_db80363d35f10926,2017-01-28,75
2017-03-17,air_683371d9baabf410,61,air_683371d9baabf410,2017-03-17,59
2017-03-30,air_a38f25e3399d1b25,61,air_a38f25e3399d1b25,2017-03-30,75
2016-03-28,air_81c5dff692063446,61,air_81c5dff692063446,2016-03-28,63
2016-12-17,air_c759b6abeb552160,61,air_c759b6abeb552160,2016-12-17,13
2017-02-24,air_1408dd53f31a8a65,61,air_1408dd53f31a8a65,2017-02-24,66
2016-11-26,air_9b6af3db40da4ae2,61,air_9b6af3db40da4ae2,2016-11-26,92
2017-03-24,air_e053c561f32acc28,61,air_e053c561f32acc28,2017-03-24,61
2017-02-10,air_4092cfbd95a3ac1b,61,air_4092cfbd95a3ac1b,2017-02-10,61
2016-12-17,air_8b4a46dc521bfcfe,60,air_8b4a46dc521bfcfe,2016-12-17,72
2016-03-13,air_326ca454ef3558bc,60,air_326ca454ef3558bc,2016-03-13,61
2016-04-08,air_326ca454ef3558bc,60,air_326ca454ef3558bc,2016-04-08,78
2017-03-18,air_326ca454ef3558bc,60,air_326ca454ef3558bc,2017-03-18,72
2017-02-04,air_a88ac559064dec08,60,air_a88ac559064dec08,2017-02-04,76
2017-03-18,air_20add8092c9bb51d,60,air_20add8092c9bb51d,2017-03-18,46
2017-03-19,air_b4f32bcc399da2b9,60,air_b4f32bcc399da2b9,2017-03-19,77
2016-12-28,air_97b2a9f975fc702c,60,air_97b2a9f975fc702c,2016-12-28,61
2016-02-12,air_03963426c9312048,60,air_03963426c9312048,2016-02-12,69
2017-02-10,air_03963426c9312048,60,air_03963426c9312048,2017-02-10,60
2017-02-18,air_03963426c9312048,60,air_03963426c9312048,2017-02-18,60
2016-12-10,air_399904bdb7685ca0,60,air_399904bdb7685ca0,2016-12-10,115
2016-10-28,air_1408dd53f31a8a65,60,air_1408dd53f31a8a65,2016-10-28,65
2016-12-16,air_e053c561f32acc28,60,air_e053c561f32acc28,2016-12-16,60
2016-12-25,air_2a3743e37aab04b4,60,air_2a3743e37aab04b4,2016-12-25,64
2016-02-27,air_326ca454ef3558bc,59,air_326ca454ef3558bc,2016-02-27,72
2016-12-09,air_f690c42545146e0a,59,air_f690c42545146e0a,2016-12-09,47
2016-12-21,air_a88ac559064dec08,59,air_a88ac559064dec08,2016-12-21,67
2017-02-25,air_b23d0f519291247d,59,air_b23d0f519291247d,2017-02-25,53
2017-03-24,air_b23d0f519291247d,59,air_b23d0f519291247d,2017-03-24,74
2016-12-16,air_97b2a9f975fc702c,59,air_97b2a9f975fc702c,2016-12-16,79
2016-12-22,air_789466e488705c93,59,air_789466e488705c93,2016-12-22,68
2016-12-28,air_789466e488705c93,59,air_789466e488705c93,2016-12-28,54
2016-03-11,air_03963426c9312048,59,air_03963426c9312048,2016-03-11,85
2017-01-07,air_03963426c9312048,59,air_03963426c9312048,2017-01-07,56
2016-12-30,air_db80363d35f10926,59,air_db80363d35f10926,2016-12-30,90
2016-12-22,air_3c938075889fc059,59,air_3c938075889fc059,2016-12-22,65
2016-12-24,air_f911308e19d64236,59,air_f911308e19d64236,2016-12-24,60
2016-04-02,air_622375b4815cf5cb,59,air_622375b4815cf5cb,2016-04-02,81
2016-12-06,air_55c3627912b9c849,59,air_55c3627912b9c849,2016-12-06,8
2016-12-02,air_1408dd53f31a8a65,59,air_1408dd53f31a8a65,2016-12-02,63
2017-01-07,air_1408dd53f31a8a65,59,air_1408dd53f31a8a65,2017-01-07,64
2017-03-10,air_1408dd53f31a8a65,59,air_1408dd53f31a8a65,2017-03-10,63
2017-01-27,air_9b6af3db40da4ae2,59,air_9b6af3db40da4ae2,2017-01-27,64
2016-12-23,air_3e93f3c81008696d,58,air_3e93f3c81008696d,2016-12-23,18
2016-12-27,air_c47aa7493b15f297,58,air_c47aa7493b15f297,2016-12-27,14
2017-03-26,air_f690c42545146e0a,58,air_f690c42545146e0a,2017-03-26,28
2017-03-29,air_a88ac559064dec08,58,air_a88ac559064dec08,2017-03-29,54
2016-03-20,air_b4f32bcc399da2b9,58,air_b4f32bcc399da2b9,2016-03-20,83
2016-12-02,air_97b2a9f975fc702c,58,air_97b2a9f975fc702c,2016-12-02,66
2017-02-18,air_e55abd740f93ecc4,58,air_e55abd740f93ecc4,2017-02-18,65
2017-03-19,air_e55abd740f93ecc4,58,air_e55abd740f93ecc4,2017-03-19,81
2016-12-10,air_24b9b2a020826ede,58,air_24b9b2a020826ede,2016-12-10,60
2016-12-29,air_24b9b2a020826ede,58,air_24b9b2a020826ede,2016-12-29,58
2017-03-25,air_24b9b2a020826ede,58,air_24b9b2a020826ede,2017-03-25,58
2016-12-17,air_2c6fef1ce0e13a5a,58,air_2c6fef1ce0e13a5a,2016-12-17,72
2016-02-06,air_03963426c9312048,58,air_03963426c9312048,2016-02-06,62
2017-04-08,air_03963426c9312048,58,air_03963426c9312048,2017-04-08,65
2017-04-22,air_ca6ae8d49a2f1eaf,58,air_ca6ae8d49a2f1eaf,2017-04-22,47
2016-12-03,air_db80363d35f10926,58,air_db80363d35f10926,2016-12-03,65
2016-12-02,air_683371d9baabf410,58,air_683371d9baabf410,2016-12-02,58
2016-12-10,air_3c938075889fc059,58,air_3c938075889fc059,2016-12-10,67
2017-04-07,air_707d4b6328f2c2df,58,air_707d4b6328f2c2df,2017-04-07,63
2016-03-28,air_622375b4815cf5cb,58,air_622375b4815cf5cb,2016-03-28,51
2016-12-16,air_7cc17a324ae5c7dc,58,air_7cc17a324ae5c7dc,2016-12-16,62
2017-04-15,air_900d755ebd2f7bbd,58,air_900d755ebd2f7bbd,2017-04-15,111
2016-11-02,air_9b6af3db40da4ae2,58,air_9b6af3db40da4ae2,2016-11-02,56
2016-12-23,air_e053c561f32acc28,58,air_e053c561f32acc28,2016-12-23,60
2016-12-11,air_4092cfbd95a3ac1b,58,air_4092cfbd95a3ac1b,2016-12-11,59
2016-05-04,air_ee3a01f0c71a769f,57,air_ee3a01f0c71a769f,2016-05-04,79
2016-11-29,air_a88ac559064dec08,57,air_a88ac559064dec08,2016-11-29,61
2016-12-28,air_a88ac559064dec08,57,air_a88ac559064dec08,2016-12-28,74
2016-02-27,air_b4f32bcc399da2b9,57,air_b4f32bcc399da2b9,2016-02-27,78
2017-03-16,air_b23d0f519291247d,57,air_b23d0f519291247d,2017-03-16,54
2017-01-14,air_df554c4527a1cfe6,57,air_df554c4527a1cfe6,2017-01-14,104
2017-02-19,air_789466e488705c93,57,air_789466e488705c93,2017-02-19,59
2017-03-12,air_cf5ab75a0afb8af9,57,air_cf5ab75a0afb8af9,2017-03-12,81
2017-03-24,air_cf5ab75a0afb8af9,57,air_cf5ab75a0afb8af9,2017-03-24,76
2017-03-26,air_cf5ab75a0afb8af9,57,air_cf5ab75a0afb8af9,2017-03-26,72
2016-03-23,air_03963426c9312048,57,air_03963426c9312048,2016-03-23,88
2016-12-22,air_399904bdb7685ca0,57,air_399904bdb7685ca0,2016-12-22,120
2017-02-10,air_396166d47733d5c9,57,air_396166d47733d5c9,2017-02-10,60
2016-02-13,air_622375b4815cf5cb,57,air_622375b4815cf5cb,2016-02-13,59
2016-03-22,air_622375b4815cf5cb,57,air_622375b4815cf5cb,2016-03-22,89
2016-12-22,air_e89735e80d614a7e,57,air_e89735e80d614a7e,2016-12-22,71
2016-11-26,air_1408dd53f31a8a65,57,air_1408dd53f31a8a65,2016-11-26,64
2016-12-13,air_1408dd53f31a8a65,57,air_1408dd53f31a8a65,2016-12-13,66
2017-01-14,air_9b6af3db40da4ae2,57,air_9b6af3db40da4ae2,2017-01-14,52
2016-12-17,air_e053c561f32acc28,57,air_e053c561f32acc28,2016-12-17,63
2016-12-28,air_4cca5666eaf5c709,57,air_4cca5666eaf5c709,2016-12-28,35
2016-03-25,air_8093d0b565e9dbdf,57,air_8093d0b565e9dbdf,2016-03-25,78
2017-04-08,air_326ca454ef3558bc,56,air_326ca454ef3558bc,2017-04-08,56
2016-12-18,air_710d6537cb7623df,56,air_710d6537cb7623df,2016-12-18,60
2017-02-12,air_710d6537cb7623df,56,air_710d6537cb7623df,2017-02-12,59
2017-03-19,air_710d6537cb7623df,56,air_710d6537cb7623df,2017-03-19,74
2016-11-25,air_a88ac559064dec08,56,air_a88ac559064dec08,2016-11-25,17
2016-12-02,air_a88ac559064dec08,56,air_a88ac559064dec08,2016-12-02,60
2017-03-01,air_a88ac559064dec08,56,air_a88ac559064dec08,2017-03-01,62
2016-03-27,air_b4f32bcc399da2b9,56,air_b4f32bcc399da2b9,2016-03-27,60
2017-03-04,air_0a74a5408a0b8642,56,air_0a74a5408a0b8642,2017-03-04,45
2016-03-25,air_db80363d35f10926,56,air_db80363d35f10926,2016-03-25,62
2017-02-11,air_f911308e19d64236,56,air_f911308e19d64236,2017-02-11,73
